id,name
203954,Joel Embiid
1629029,Luka Doncic
1628983,Shai Gilgeous-Alexander
203507,Giannis Antetokounmpo
201142,Kevin Durant
1626164,Devin Booker
1628378,Donovan Mitchell
201939,Stephen Curry
1628368,De'Aaron Fox
1628973,Jalen Brunson
1629027,Trae Young
1628369,Jayson Tatum
203999,Nikola Jokic
1630178,Tyrese Maxey
1630162,Anthony Edwards
202681,Kyrie Irving
203081,Damian Lillard
1629630,Ja Morant
203076,Anthony Davis
2544,LeBron James
1630217,Desmond Bane
203944,Julius Randle
202695,Kawhi Leonard
1630163,LaMelo Ball
1628374,Lauri Markkanen
1630169,Tyrese Haliburton
202331,Paul George
1631094,Paolo Banchero
1629014,Anfernee Simons
1626157,Karl-Anthony Towns
1630595,Cade Cunningham
1627759,Jaylen Brown
201942,DeMar DeRozan
1628398,Kyle Kuzma
1627783,Pascal Siakam
1629627,Zion Williamson
1628991,Jaren Jackson Jr.
1628969,Mikal Bridges
1630578,Alperen Sengun
1627749,Dejounte Murray
1627742,Brandon Ingram
202710,Jimmy Butler
1626179,Terry Rozier
203924,Jerami Grant
1629639,Tyler Herro
1627750,Jamal Murray
1630560,Cam Thomas
1628970,Miles Bridges
1641705,Victor Wembanyama
1628389,Bam Adebayo
1630532,Franz Wagner
202711,Bojan Bogdanovic
1630567,Scottie Barnes
1629636,Darius Garland
1627734,Domantas Sabonis
203897,Zach LaVine
204001,Kristaps Porzingis
1629628,RJ Barrett
203468,CJ McCollum
1629632,Coby White
1631114,Jalen Williams
1630224,Jalen Green
1630170,Devin Vassell
203501,Tim Hardaway Jr.
202699,Tobias Harris
203903,Jordan Clarkson
202691,Klay Thompson
1629012,Collin Sexton
203078,Bradley Beal
201935,James Harden
203992,Bogdan Bogdanovic
1626156,D'Angelo Russell
1626167,Myles Turner
202696,Nikola Vucevic
1627832,Fred VanVleet
1631096,Chet Holmgren
1629640,Keldon Johnson
1629673,Jordan Poole
1631099,Keegan Murray
1631101,Shaedon Sharpe
1629008,Michael Porter Jr.
1627763,Malcolm Brogdon
1628401,Derrick White
1630552,Jalen Johnson
1630559,Austin Reaves
1630193,Immanuel Quickley
1627747,Caris LeVert
1630596,Evan Mobley
1628384,OG Anunoby
1641706,Brandon Miller
1628386,Jarrett Allen
203114,Khris Middleton
1630228,Jonathan Kuminga
1629631,De'Andre Hunter
202330,Gordon Hayward
203935,Marcus Smart
1631097,Bennedict Mathurin
1631093,Jaden Ivey
1628370,Malik Monk
202685,Jonas Valanciunas
1628381,John Collins
1629661,Cameron Johnson
1631105,Jalen Duren
203471,Dennis Schroder
1628415,Dillon Brooks
1629023,P.J. Washington
1629028,Deandre Ayton
203932,Aaron Gordon
1626181,Norman Powell
1631095,Jabari Smith Jr.
203497,Rudy Gobert
1631170,Jaime Jaquez Jr.
201572,Brook Lopez
201950,Jrue Holiday
1626162,Kelly Oubre Jr.
1628960,Grayson Allen
1629130,Duncan Robinson
1630180,Saddiq Bey
1630530,Trey Murphy III
203915,Spencer Dinwiddie
201569,Eric Gordon
1631109,Mark Williams
1629622,Max Strus
1630175,Cole Anthony
203952,Andrew Wiggins
1630174,Aaron Nesmith
202692,Alec Burks
1630166,Deni Avdija
1629651,Nic Claxton
1627826,Ivica Zubac
1628978,Donte DiVincenzo
1629675,Naz Reid
1630591,Jalen Suggs
1626171,Bobby Portis
1630703,Scoot Henderson
1626145,Tyus Jones
1628380,Zach Collins
1629022,Lonnie Walker IV
1627741,Buddy Hield
1630553,Keon Johnson
1629018,Gary Trent Jr.
1628971,Bruce Brown
203084,Harrison Barnes
203994,Jusuf Nurkic
1629001,De'Anthony Melton
1631110,Jeremy Sochan
1629021,Moritz Wagner
1630581,Josh Giddey
1629060,Rui Hachimura
1628963,Marvin Bagley III
203991,Clint Capela
201566,Russell Westbrook
1630557,Corey Kispert
1630167,Obi Toppin
1641715,Cam Whitmore
1627736,Malik Beasley
202704,Reggie Jackson
1628976,Wendell Carter Jr.
1641718,Keyonte George
1630191,Isaiah Stewart
1630183,Jaden McDaniels
1630529,Herbert Jones
1628989,Kevin Huerter
201144,Mike Conley
1630583,Santi Aldama
1629659,Talen Horton-Tucker
1630188,Jalen Smith
1629655,Daniel Gafford
1627751,Jakob Poeltl
1628379,Luke Kennard
1629652,Luguentz Dort
1628997,Caleb Martin
1641722,Jordan Hawkins
203967,Dario Saric
1627884,Derrick Jones Jr.
1627936,Alex Caruso
203484,Kentavious Caldwell-Pope
1626196,Josh Richardson
1630562,Matt Hurt
1630172,Patrick Williams
1631106,Tari Eason
1630208,Nick Richards
1627752,Taurean Prince
1630200,Tre Jones
1629614,Andrew Nembhard
1630245,Ayo Dosunmu
1630346,Matt Ryan
203110,Draymond Green
1627777,Georges Niang
1630168,Onyeka Okongwu
1641764,Brandin Podziemski
203957,Dante Exum
1641726,Dereck Lively II
201567,Kevin Love
1627827,Dorian Finney-Smith
1641871,Duop Reath
1631323,Simone Fontecchio
101108,Chris Paul
1628365,Markelle Fultz
1630171,Isaac Okoro
1630590,Scotty Pippen Jr.
1630541,Moses Moody
1631246,Vince Williams Jr.
1630198,Isaiah Joe
1630241,Sam Merrill
1641713,GG Jackson
1631133,Jabari Walker
1641731,Bilal Coulibaly
1631117,Walker Kessler
201565,Derrick Rose
1630573,Sam Hauser
1631103,Malaki Branham
1641709,Ausar Thompson
1629684,Grant Williams
200768,Kyle Lowry
1630182,Josh Green
1630702,Jaden Hardy
204456,T.J. McConnell
203482,Kelly Olynyk
1631223,David Roddy
203083,Andre Drummond
1630202,Payton Pritchard
1629013,Landry Shamet
201143,Al Horford
1628995,Kevin Knox II
1630533,Ziaire Williams
1629611,Terance Mann
201568,Danilo Gallinari
1630230,Naji Marshall
1630549,Day'Ron Sharpe
1626224,Cedi Osman
1628404,Josh Hart
1629656,Quentin Grimes
1628998,Cody Martin
1628372,Dennis Smith Jr.
1631204,Marcus Sasser
1641854,Craig Porter Jr.
1631128,Christian Braun
203914,Gary Harris
1626174,Christian Wood
1626220,Royce O'Neale
1627732,Ben Simmons
1626168,Trey Lyles
1630173,Precious Achiuwa
1628392,Isaiah Hartenstein
1629638,Nickeil Alexander-Walker
1630165,Killian Hayes
1629057,Robert Williams III
1631212,Peyton Watson
203109,Jae Crowder
1630631,Jose Alvarado
1631218,Trayce Jackson-Davis
1630543,Isaiah Jackson
1641717,Cason Wallace
1629629,Cam Reddish
202694,Marcus Morris Sr.
1641739,Toumani Camara
1629048,Goga Bitadze
1628988,Aaron Holiday
1628464,Daniel Theis
1641708,Amen Thompson
1641733,Nick Smith Jr.
1628371,Jonathan Isaac
1626166,Cameron Payne
1629670,Jordan Nwora
1628420,Monte Morris
1630538,Bones Hyland
1629011,Mitchell Robinson
203937,Kyle Anderson
1630194,Paul Reed
1628449,Chris Boucher
203486,Mason Plumlee
1628470,Torrey Craig
201145,Jeff Green
1629312,Haywood Highsmith
1630164,James Wiseman
203926,Doug McDermott
1630214,Xavier Tillman
201976,Patrick Beverley
1631124,Julian Strawther
1630577,Julian Champagnie
1629731,Dean Wade
1626204,Larry Nance Jr.
1630598,Aaron Wiggins
1629234,Drew Eubanks
1631288,Jamal Cain
201587,Nicolas Batum
1629669,Jaylen Nowell
1628426,Sasha Vezenkov
1630219,Skylar Mays
1629680,Matisse Thybulle
1630534,Ochai Agbaji
1630570,Trendon Watford
1641926,Dexter Dennis
1630700,Dyson Daniels
1631107,Nikola Jovic
1627780,Gary Payton II
1629216,Gabe Vincent
1629599,Amir Coffey
1626192,Pat Connaughton
1641730,Noah Clowney
1641710,Anthony Black
1626172,Kevon Looney
1628436,Luke Kornet
1627739,Kris Dunn
202687,Bismack Biyombo
1630540,Miles McBride
1629006,Josh Okogie
1629020,Jarred Vanderbilt
1628975,Jevon Carter
1630692,Jordan Goodwin
1631216,Caleb Houstan
1629002,Chimezie Metu
1631121,Bryce McGowens
1630649,Stanley Umude
1630587,Isaiah Livers
1631108,Max Christie
1641716,Jarace Walker
1641707,Taylor Hendricks
201152,Thaddeus Young
1630699,MarJon Beauchamp
1629003,Shake Milton
204060,Joe Ingles
1629007,Jontay Porter
201580,JaVale McGee
1629674,Neemias Queta
1630256,Jae'Sean Tate
1630215,Jared Butler
1629026,Kenrich Williams
1626153,Delon Wright
1628966,Keita Bates-Diop
1630647,Eugene Omoruyi
1629642,Nassir Little
1631230,Dominick Barlow
1630592,Jalen Wilson
1630527,Brandon Boston Jr.
203496,Robert Covington
203939,Dwight Powell
1630696,Dru Smith
201599,DeAndre Jordan
203552,Seth Curry
1628972,Troy Brown Jr.
1628964,Mo Bamba
1628418,Thomas Bryant
1629717,Armoni Brooks
1630639,A.J. Lawson
1630201,Malachi Flynn
1630177,Theo Maledon
1631115,Orlando Robinson
1630526,Jeremiah Robinson-Earl
1631157,Ryan Rollins
1627863,Danuel House Jr.
203095,Evan Fournier
1641711,Gradey Dick
1629603,Mamadi Diakite
1631172,Ousmane Dieng
203488,Mike Muscala
1631165,Keon Ellis
1629052,Oshae Brissett
1631367,Jacob Gilyard
1630544,Tre Mann
1630547,James Bouknight
202684,Tristan Thompson
1629723,John Konchar
1630537,Chris Duarte
1631222,Jake LaRavia
1628467,Maxi Kleber
1630558,Davion Mitchell
1631119,Jaylin Williams
1631104,Blake Wesley
1629139,Yuta Watanabe
1629726,Garrison Mathews
1631466,Nate Williams
203200,Justin Holiday
1626158,Richaun Holmes
1628984,Devonte' Graham
1630531,Jaden Springer
1631131,Oscar Tshiebwe
203995,Vasilije Micic
1629626,Bol Bol
1631200,Kris Murray
1629637,Jaxson Hayes
1630209,Omer Yurtseven
1630243,Trevelin Queen
1629646,Charles Bassey
1629643,Chuma Okeke
1631260,AJ Green
1630314,Brandon Williams
202397,Ish Smith
1630550,JT Thor
1630658,Colin Castleton
1641741,Ricky Council IV
1629667,Jalen McDaniels
1630192,Zeke Nnaji
1641765,Olivier-Maxence Prosper
1628385,Harry Giles III
201988,Patty Mills
1641767,Ben Sheppard
1641809,Drew Peterson
1631116,Patrick Baldwin Jr.
202722,Davis Bertans
1628981,Bruno Fernando
1628962,Udoka Azubuike
1629677,Luka Samanic
1630688,Ish Wainright
1630240,Saben Lee
1631220,Dereon Seabron
1641748,Andre Jackson Jr.
1630184,Kira Lewis Jr.
1630322,Lindy Waters III
1631311,Lester Quinones
1631217,Moussa Diabate
1641766,Adama Sanogo
1630205,Lamar Stevens
202693,Markieff Morris
1641712,Rayan Rupert
1629004,Svi Mykhailiuk
1630572,Sandro Mamukelashvili
1631197,Jared Rhoden
1631159,Leonard Miller
203490,Otto Porter Jr.
1631306,Cole Swider
1629162,Jordan McLaughlin
1641735,Amari Bailey
1630535,Greg Brown III
1630611,Gui Santos
203925,Joe Harris
203493,Reggie Bullock Jr.
1630231,KJ Martin
1631254,Kenneth Lofton Jr.
1630625,Dalano Banton
1627788,Furkan Korkmaz
203458,Alex Len
1641732,Colby Jones
1631098,Johnny Davis
1631207,Dalen Terry
1630568,Luka Garza
1630264,Anthony Gill
1629111,Jock Landale
202709,Cory Joseph
1631173,Terquavion Smith
1627745,Damian Jones
1631221,Collin Gillespie
1626246,Boban Marjanovic
1630235,Trent Forrest
202083,Wesley Matthews
1629618,Jalen Pickett
1631100,AJ Griffin
1641793,D'Moi Hodge
1629685,Dylan Windler
1630259,Jordan Ford
1630563,Joshua Primo
1631112,Kendall Brown
1629623,Lindell Wigginton
1641806,Markquis Nowell
1629650,Moses Brown
1630846,Olivier Sarr
1631386,Taze Moore
1629660,Ty Jerome
1641738,Kobe Brown
203469,Cody Zeller
1641724,Jett Howard
1641734,Emoni Bates
1641720,Jalen Hood-Schifino
1641778,Leaky Black
1630678,Terry Taylor
1630641,Ibou Badji
1641757,Jordan Miller
1630207,Nate Hinton
1631169,Josh Minott
1630579,Jericho Sims
1641763,Julian Phillips
1630600,Isaiah Mobley
1631123,Jamaree Bouyea
1641998,Trey Jemison
1641754,Seth Lundy
1641727,Dariq Whitehead
1631303,Justin Minaya
1641749,Keyontae Johnson
1631102,TyTy Washington Jr.
1630556,Kessler Edwards
202066,Garrett Temple
1641877,Nathan Mensah
1630227,Daishen Nix
1631257,Jermaine Samuels Jr.
1641723,Kobe Bufkin
200782,P.J. Tucker
1641753,Chris Livingston
201959,Taj Gibson
1641729,Brice Sensabaugh
1630181,R.J. Hampton
1631321,Sidy Cissoko
1630643,Jay Huff
1630296,Braxton Key
1629610,DaQuan Jeffries
1629678,Admiral Schofield
1630197,Aleksej Pokusevski
1641788,Alex Fudge
1630196,Filip Petrusev
1628373,Frank Ntilikina
1628977,Hamidou Diallo
1631120,JD Davison
1631241,Javon Freeman-Liberty
1629875,Xavier Moon
1641771,Jalen Slawson
201949,James Johnson
1631262,Jules Bernard
201577,Robin Lopez
1629718,Charlie Brown Jr.
203648,Thanasis Antetokounmpo
1627885,Shaquille Harrison
1631111,Wendell Moore Jr.
1629308,Juan Toscano-Anderson
1629010,Jerome Robinson
1630604,E.J. Liddell
1641721,Maxwell Lewis
1641816,Hunter Tyson
201980,Danny Green
1631376,Dmytro Skapintsev
1631210,Jacob Toppin
1630606,Javonte Smart
1630548,Johnny Juzang
1641775,Jordan Walsh
1629232,Kaiser Gates
1630284,Kevon Harris
1630608,Malcolm Cazalon
1629716,Marques Bolden
1630695,Micah Potter
1631243,Mouhamed Gueye
1641931,Onuralp Bitim
1631250,Pete Nance
1631199,Ron Harper Jr.
1627853,Ryan Arcidiacono
1630586,Usman Garuba
