Season,BBRef_Team_Name,NBA_Current_Link_ID
2019,Atlanta Hawks,1610612737
2018,Atlanta Hawks,1610612737
2017,Atlanta Hawks,1610612737
2016,Atlanta Hawks,1610612737
2015,Atlanta Hawks,1610612737
2014,Atlanta Hawks,1610612737
2013,Atlanta Hawks,1610612737
2012,Atlanta Hawks,1610612737
2011,Atlanta Hawks,1610612737
2010,Atlanta Hawks,1610612737
2009,Atlanta Hawks,1610612737
2008,Atlanta Hawks,1610612737
2007,Atlanta Hawks,1610612737
2006,Atlanta Hawks,1610612737
2005,Atlanta Hawks,1610612737
2004,Atlanta Hawks,1610612737
2003,Atlanta Hawks,1610612737
2002,Atlanta Hawks,1610612737
2001,Atlanta Hawks,1610612737
2000,Atlanta Hawks,1610612737
1999,Atlanta Hawks,1610612737
1998,Atlanta Hawks,1610612737
1997,Atlanta Hawks,1610612737
1996,Atlanta Hawks,1610612737
1995,Atlanta Hawks,1610612737
1994,Atlanta Hawks,1610612737
1993,Atlanta Hawks,1610612737
1992,Atlanta Hawks,1610612737
1991,Atlanta Hawks,1610612737
1990,Atlanta Hawks,1610612737
1989,Atlanta Hawks,1610612737
1988,Atlanta Hawks,1610612737
1987,Atlanta Hawks,1610612737
1986,Atlanta Hawks,1610612737
1985,Atlanta Hawks,1610612737
1984,Atlanta Hawks,1610612737
1983,Atlanta Hawks,1610612737
1982,Atlanta Hawks,1610612737
1981,Atlanta Hawks,1610612737
1980,Atlanta Hawks,1610612737
1979,Atlanta Hawks,1610612737
1978,Atlanta Hawks,1610612737
1977,Atlanta Hawks,1610612737
1976,Atlanta Hawks,1610612737
1975,Atlanta Hawks,1610612737
1974,Atlanta Hawks,1610612737
1973,Atlanta Hawks,1610612737
1972,Atlanta Hawks,1610612737
1971,Atlanta Hawks,1610612737
1970,Atlanta Hawks,1610612737
1969,Atlanta Hawks,1610612737
1968,Atlanta Hawks,1610612737
1967,St. Louis Hawks,1610612737
1966,St. Louis Hawks,1610612737
1965,St. Louis Hawks,1610612737
1964,St. Louis Hawks,1610612737
1963,St. Louis Hawks,1610612737
1962,St. Louis Hawks,1610612737
1961,St. Louis Hawks,1610612737
1960,St. Louis Hawks,1610612737
1959,St. Louis Hawks,1610612737
1958,St. Louis Hawks,1610612737
1957,St. Louis Hawks,1610612737
1956,St. Louis Hawks,1610612737
1955,St. Louis Hawks,1610612737
1954,Milwaukee Hawks,1610612737
1953,Milwaukee Hawks,1610612737
1952,Milwaukee Hawks,1610612737
1951,Milwaukee Hawks,1610612737
1950,Tri-Cities Blackhawks,1610612737
1949,Tri-Cities Blackhawks,1610612737
2019,Brooklyn Nets,1610612751
2018,Brooklyn Nets,1610612751
2017,Brooklyn Nets,1610612751
2016,Brooklyn Nets,1610612751
2015,Brooklyn Nets,1610612751
2014,Brooklyn Nets,1610612751
2013,Brooklyn Nets,1610612751
2012,Brooklyn Nets,1610612751
2011,New Jersey Nets,1610612751
2010,New Jersey Nets,1610612751
2009,New Jersey Nets,1610612751
2008,New Jersey Nets,1610612751
2007,New Jersey Nets,1610612751
2006,New Jersey Nets,1610612751
2005,New Jersey Nets,1610612751
2004,New Jersey Nets,1610612751
2003,New Jersey Nets,1610612751
2002,New Jersey Nets,1610612751
2001,New Jersey Nets,1610612751
2000,New Jersey Nets,1610612751
1999,New Jersey Nets,1610612751
1998,New Jersey Nets,1610612751
1997,New Jersey Nets,1610612751
1996,New Jersey Nets,1610612751
1995,New Jersey Nets,1610612751
1994,New Jersey Nets,1610612751
1993,New Jersey Nets,1610612751
1992,New Jersey Nets,1610612751
1991,New Jersey Nets,1610612751
1990,New Jersey Nets,1610612751
1989,New Jersey Nets,1610612751
1988,New Jersey Nets,1610612751
1987,New Jersey Nets,1610612751
1986,New Jersey Nets,1610612751
1985,New Jersey Nets,1610612751
1984,New Jersey Nets,1610612751
1983,New Jersey Nets,1610612751
1982,New Jersey Nets,1610612751
1981,New Jersey Nets,1610612751
1980,New Jersey Nets,1610612751
1979,New Jersey Nets,1610612751
1978,New Jersey Nets,1610612751
1977,New Jersey Nets,1610612751
1976,New York Nets,1610612751
1975,New York Nets,1610612751
1974,New York Nets,1610612751
1973,New York Nets,1610612751
1972,New York Nets,1610612751
1971,New York Nets,1610612751
1970,New York Nets,1610612751
1969,New York Nets,1610612751
1968,New York Nets,1610612751
1967,New Jersey Americans,1610612751
2019,Boston Celtics,1610612738
2018,Boston Celtics,1610612738
2017,Boston Celtics,1610612738
2016,Boston Celtics,1610612738
2015,Boston Celtics,1610612738
2014,Boston Celtics,1610612738
2013,Boston Celtics,1610612738
2012,Boston Celtics,1610612738
2011,Boston Celtics,1610612738
2010,Boston Celtics,1610612738
2009,Boston Celtics,1610612738
2008,Boston Celtics,1610612738
2007,Boston Celtics,1610612738
2006,Boston Celtics,1610612738
2005,Boston Celtics,1610612738
2004,Boston Celtics,1610612738
2003,Boston Celtics,1610612738
2002,Boston Celtics,1610612738
2001,Boston Celtics,1610612738
2000,Boston Celtics,1610612738
1999,Boston Celtics,1610612738
1998,Boston Celtics,1610612738
1997,Boston Celtics,1610612738
1996,Boston Celtics,1610612738
1995,Boston Celtics,1610612738
1994,Boston Celtics,1610612738
1993,Boston Celtics,1610612738
1992,Boston Celtics,1610612738
1991,Boston Celtics,1610612738
1990,Boston Celtics,1610612738
1989,Boston Celtics,1610612738
1988,Boston Celtics,1610612738
1987,Boston Celtics,1610612738
1986,Boston Celtics,1610612738
1985,Boston Celtics,1610612738
1984,Boston Celtics,1610612738
1983,Boston Celtics,1610612738
1982,Boston Celtics,1610612738
1981,Boston Celtics,1610612738
1980,Boston Celtics,1610612738
1979,Boston Celtics,1610612738
1978,Boston Celtics,1610612738
1977,Boston Celtics,1610612738
1976,Boston Celtics,1610612738
1975,Boston Celtics,1610612738
1974,Boston Celtics,1610612738
1973,Boston Celtics,1610612738
1972,Boston Celtics,1610612738
1971,Boston Celtics,1610612738
1970,Boston Celtics,1610612738
1969,Boston Celtics,1610612738
1968,Boston Celtics,1610612738
1967,Boston Celtics,1610612738
1966,Boston Celtics,1610612738
1965,Boston Celtics,1610612738
1964,Boston Celtics,1610612738
1963,Boston Celtics,1610612738
1962,Boston Celtics,1610612738
1961,Boston Celtics,1610612738
1960,Boston Celtics,1610612738
1959,Boston Celtics,1610612738
1958,Boston Celtics,1610612738
1957,Boston Celtics,1610612738
1956,Boston Celtics,1610612738
1955,Boston Celtics,1610612738
1954,Boston Celtics,1610612738
1953,Boston Celtics,1610612738
1952,Boston Celtics,1610612738
1951,Boston Celtics,1610612738
1950,Boston Celtics,1610612738
1949,Boston Celtics,1610612738
1948,Boston Celtics,1610612738
1947,Boston Celtics,1610612738
1946,Boston Celtics,1610612738
2019,Charlotte Hornets,1610612766
2018,Charlotte Hornets,1610612766
2017,Charlotte Hornets,1610612766
2016,Charlotte Hornets,1610612766
2015,Charlotte Hornets,1610612766
2014,Charlotte Hornets,1610612766
2013,Charlotte Bobcats,1610612766
2012,Charlotte Bobcats,1610612766
2011,Charlotte Bobcats,1610612766
2010,Charlotte Bobcats,1610612766
2009,Charlotte Bobcats,1610612766
2008,Charlotte Bobcats,1610612766
2007,Charlotte Bobcats,1610612766
2006,Charlotte Bobcats,1610612766
2005,Charlotte Bobcats,1610612766
2004,Charlotte Bobcats,1610612766
2003,Charlotte Hornets,1610612766
2002,Charlotte Hornets,1610612766
2001,Charlotte Hornets,1610612766
2000,Charlotte Hornets,1610612766
1999,Charlotte Hornets,1610612766
1998,Charlotte Hornets,1610612766
1997,Charlotte Hornets,1610612766
1996,Charlotte Hornets,1610612766
1995,Charlotte Hornets,1610612766
1994,Charlotte Hornets,1610612766
1993,Charlotte Hornets,1610612766
1992,Charlotte Hornets,1610612766
1991,Charlotte Hornets,1610612766
1990,Charlotte Hornets,1610612766
1989,Charlotte Hornets,1610612766
1988,Charlotte Hornets,1610612766
2019,Cleveland Cavaliers,1610612739
2018,Cleveland Cavaliers,1610612739
2017,Cleveland Cavaliers,1610612739
2016,Cleveland Cavaliers,1610612739
2015,Cleveland Cavaliers,1610612739
2014,Cleveland Cavaliers,1610612739
2013,Cleveland Cavaliers,1610612739
2012,Cleveland Cavaliers,1610612739
2011,Cleveland Cavaliers,1610612739
2010,Cleveland Cavaliers,1610612739
2009,Cleveland Cavaliers,1610612739
2008,Cleveland Cavaliers,1610612739
2007,Cleveland Cavaliers,1610612739
2006,Cleveland Cavaliers,1610612739
2005,Cleveland Cavaliers,1610612739
2004,Cleveland Cavaliers,1610612739
2003,Cleveland Cavaliers,1610612739
2002,Cleveland Cavaliers,1610612739
2001,Cleveland Cavaliers,1610612739
2000,Cleveland Cavaliers,1610612739
1999,Cleveland Cavaliers,1610612739
1998,Cleveland Cavaliers,1610612739
1997,Cleveland Cavaliers,1610612739
1996,Cleveland Cavaliers,1610612739
1995,Cleveland Cavaliers,1610612739
1994,Cleveland Cavaliers,1610612739
1993,Cleveland Cavaliers,1610612739
1992,Cleveland Cavaliers,1610612739
1991,Cleveland Cavaliers,1610612739
1990,Cleveland Cavaliers,1610612739
1989,Cleveland Cavaliers,1610612739
1988,Cleveland Cavaliers,1610612739
1987,Cleveland Cavaliers,1610612739
1986,Cleveland Cavaliers,1610612739
1985,Cleveland Cavaliers,1610612739
1984,Cleveland Cavaliers,1610612739
1983,Cleveland Cavaliers,1610612739
1982,Cleveland Cavaliers,1610612739
1981,Cleveland Cavaliers,1610612739
1980,Cleveland Cavaliers,1610612739
1979,Cleveland Cavaliers,1610612739
1978,Cleveland Cavaliers,1610612739
1977,Cleveland Cavaliers,1610612739
1976,Cleveland Cavaliers,1610612739
1975,Cleveland Cavaliers,1610612739
1974,Cleveland Cavaliers,1610612739
1973,Cleveland Cavaliers,1610612739
1972,Cleveland Cavaliers,1610612739
1971,Cleveland Cavaliers,1610612739
1970,Cleveland Cavaliers,1610612739
2019,Chicago Bulls,1610612741
2018,Chicago Bulls,1610612741
2017,Chicago Bulls,1610612741
2016,Chicago Bulls,1610612741
2015,Chicago Bulls,1610612741
2014,Chicago Bulls,1610612741
2013,Chicago Bulls,1610612741
2012,Chicago Bulls,1610612741
2011,Chicago Bulls,1610612741
2010,Chicago Bulls,1610612741
2009,Chicago Bulls,1610612741
2008,Chicago Bulls,1610612741
2007,Chicago Bulls,1610612741
2006,Chicago Bulls,1610612741
2005,Chicago Bulls,1610612741
2004,Chicago Bulls,1610612741
2003,Chicago Bulls,1610612741
2002,Chicago Bulls,1610612741
2001,Chicago Bulls,1610612741
2000,Chicago Bulls,1610612741
1999,Chicago Bulls,1610612741
1998,Chicago Bulls,1610612741
1997,Chicago Bulls,1610612741
1996,Chicago Bulls,1610612741
1995,Chicago Bulls,1610612741
1994,Chicago Bulls,1610612741
1993,Chicago Bulls,1610612741
1992,Chicago Bulls,1610612741
1991,Chicago Bulls,1610612741
1990,Chicago Bulls,1610612741
1989,Chicago Bulls,1610612741
1988,Chicago Bulls,1610612741
1987,Chicago Bulls,1610612741
1986,Chicago Bulls,1610612741
1985,Chicago Bulls,1610612741
1984,Chicago Bulls,1610612741
1983,Chicago Bulls,1610612741
1982,Chicago Bulls,1610612741
1981,Chicago Bulls,1610612741
1980,Chicago Bulls,1610612741
1979,Chicago Bulls,1610612741
1978,Chicago Bulls,1610612741
1977,Chicago Bulls,1610612741
1976,Chicago Bulls,1610612741
1975,Chicago Bulls,1610612741
1974,Chicago Bulls,1610612741
1973,Chicago Bulls,1610612741
1972,Chicago Bulls,1610612741
1971,Chicago Bulls,1610612741
1970,Chicago Bulls,1610612741
1969,Chicago Bulls,1610612741
1968,Chicago Bulls,1610612741
1967,Chicago Bulls,1610612741
1966,Chicago Bulls,1610612741
2019,Dallas Mavericks,1610612742
2018,Dallas Mavericks,1610612742
2017,Dallas Mavericks,1610612742
2016,Dallas Mavericks,1610612742
2015,Dallas Mavericks,1610612742
2014,Dallas Mavericks,1610612742
2013,Dallas Mavericks,1610612742
2012,Dallas Mavericks,1610612742
2011,Dallas Mavericks,1610612742
2010,Dallas Mavericks,1610612742
2009,Dallas Mavericks,1610612742
2008,Dallas Mavericks,1610612742
2007,Dallas Mavericks,1610612742
2006,Dallas Mavericks,1610612742
2005,Dallas Mavericks,1610612742
2004,Dallas Mavericks,1610612742
2003,Dallas Mavericks,1610612742
2002,Dallas Mavericks,1610612742
2001,Dallas Mavericks,1610612742
2000,Dallas Mavericks,1610612742
1999,Dallas Mavericks,1610612742
1998,Dallas Mavericks,1610612742
1997,Dallas Mavericks,1610612742
1996,Dallas Mavericks,1610612742
1995,Dallas Mavericks,1610612742
1994,Dallas Mavericks,1610612742
1993,Dallas Mavericks,1610612742
1992,Dallas Mavericks,1610612742
1991,Dallas Mavericks,1610612742
1990,Dallas Mavericks,1610612742
1989,Dallas Mavericks,1610612742
1988,Dallas Mavericks,1610612742
1987,Dallas Mavericks,1610612742
1986,Dallas Mavericks,1610612742
1985,Dallas Mavericks,1610612742
1984,Dallas Mavericks,1610612742
1983,Dallas Mavericks,1610612742
1982,Dallas Mavericks,1610612742
1981,Dallas Mavericks,1610612742
1980,Dallas Mavericks,1610612742
2019,Denver Nuggets,1610612743
2018,Denver Nuggets,1610612743
2017,Denver Nuggets,1610612743
2016,Denver Nuggets,1610612743
2015,Denver Nuggets,1610612743
2014,Denver Nuggets,1610612743
2013,Denver Nuggets,1610612743
2012,Denver Nuggets,1610612743
2011,Denver Nuggets,1610612743
2010,Denver Nuggets,1610612743
2009,Denver Nuggets,1610612743
2008,Denver Nuggets,1610612743
2007,Denver Nuggets,1610612743
2006,Denver Nuggets,1610612743
2005,Denver Nuggets,1610612743
2004,Denver Nuggets,1610612743
2003,Denver Nuggets,1610612743
2002,Denver Nuggets,1610612743
2001,Denver Nuggets,1610612743
2000,Denver Nuggets,1610612743
1999,Denver Nuggets,1610612743
1998,Denver Nuggets,1610612743
1997,Denver Nuggets,1610612743
1996,Denver Nuggets,1610612743
1995,Denver Nuggets,1610612743
1994,Denver Nuggets,1610612743
1993,Denver Nuggets,1610612743
1992,Denver Nuggets,1610612743
1991,Denver Nuggets,1610612743
1990,Denver Nuggets,1610612743
1989,Denver Nuggets,1610612743
1988,Denver Nuggets,1610612743
1987,Denver Nuggets,1610612743
1986,Denver Nuggets,1610612743
1985,Denver Nuggets,1610612743
1984,Denver Nuggets,1610612743
1983,Denver Nuggets,1610612743
1982,Denver Nuggets,1610612743
1981,Denver Nuggets,1610612743
1980,Denver Nuggets,1610612743
1979,Denver Nuggets,1610612743
1978,Denver Nuggets,1610612743
1977,Denver Nuggets,1610612743
1976,Denver Nuggets,1610612743
1975,Denver Nuggets,1610612743
1974,Denver Nuggets,1610612743
1973,Denver Rockets,1610612743
1972,Denver Rockets,1610612743
1971,Denver Rockets,1610612743
1970,Denver Rockets,1610612743
1969,Denver Rockets,1610612743
1968,Denver Rockets,1610612743
1967,Denver Rockets,1610612743
2019,Detroit Pistons,1610612765
2018,Detroit Pistons,1610612765
2017,Detroit Pistons,1610612765
2016,Detroit Pistons,1610612765
2015,Detroit Pistons,1610612765
2014,Detroit Pistons,1610612765
2013,Detroit Pistons,1610612765
2012,Detroit Pistons,1610612765
2011,Detroit Pistons,1610612765
2010,Detroit Pistons,1610612765
2009,Detroit Pistons,1610612765
2008,Detroit Pistons,1610612765
2007,Detroit Pistons,1610612765
2006,Detroit Pistons,1610612765
2005,Detroit Pistons,1610612765
2004,Detroit Pistons,1610612765
2003,Detroit Pistons,1610612765
2002,Detroit Pistons,1610612765
2001,Detroit Pistons,1610612765
2000,Detroit Pistons,1610612765
1999,Detroit Pistons,1610612765
1998,Detroit Pistons,1610612765
1997,Detroit Pistons,1610612765
1996,Detroit Pistons,1610612765
1995,Detroit Pistons,1610612765
1994,Detroit Pistons,1610612765
1993,Detroit Pistons,1610612765
1992,Detroit Pistons,1610612765
1991,Detroit Pistons,1610612765
1990,Detroit Pistons,1610612765
1989,Detroit Pistons,1610612765
1988,Detroit Pistons,1610612765
1987,Detroit Pistons,1610612765
1986,Detroit Pistons,1610612765
1985,Detroit Pistons,1610612765
1984,Detroit Pistons,1610612765
1983,Detroit Pistons,1610612765
1982,Detroit Pistons,1610612765
1981,Detroit Pistons,1610612765
1980,Detroit Pistons,1610612765
1979,Detroit Pistons,1610612765
1978,Detroit Pistons,1610612765
1977,Detroit Pistons,1610612765
1976,Detroit Pistons,1610612765
1975,Detroit Pistons,1610612765
1974,Detroit Pistons,1610612765
1973,Detroit Pistons,1610612765
1972,Detroit Pistons,1610612765
1971,Detroit Pistons,1610612765
1970,Detroit Pistons,1610612765
1969,Detroit Pistons,1610612765
1968,Detroit Pistons,1610612765
1967,Detroit Pistons,1610612765
1966,Detroit Pistons,1610612765
1965,Detroit Pistons,1610612765
1964,Detroit Pistons,1610612765
1963,Detroit Pistons,1610612765
1962,Detroit Pistons,1610612765
1961,Detroit Pistons,1610612765
1960,Detroit Pistons,1610612765
1959,Detroit Pistons,1610612765
1958,Detroit Pistons,1610612765
1957,Detroit Pistons,1610612765
1956,Fort Wayne Pistons,1610612765
1955,Fort Wayne Pistons,1610612765
1954,Fort Wayne Pistons,1610612765
1953,Fort Wayne Pistons,1610612765
1952,Fort Wayne Pistons,1610612765
1951,Fort Wayne Pistons,1610612765
1950,Fort Wayne Pistons,1610612765
1949,Fort Wayne Pistons,1610612765
1948,Fort Wayne Pistons,1610612765
2019,Golden State Warriors,1610612744
2018,Golden State Warriors,1610612744
2017,Golden State Warriors,1610612744
2016,Golden State Warriors,1610612744
2015,Golden State Warriors,1610612744
2014,Golden State Warriors,1610612744
2013,Golden State Warriors,1610612744
2012,Golden State Warriors,1610612744
2011,Golden State Warriors,1610612744
2010,Golden State Warriors,1610612744
2009,Golden State Warriors,1610612744
2008,Golden State Warriors,1610612744
2007,Golden State Warriors,1610612744
2006,Golden State Warriors,1610612744
2005,Golden State Warriors,1610612744
2004,Golden State Warriors,1610612744
2003,Golden State Warriors,1610612744
2002,Golden State Warriors,1610612744
2001,Golden State Warriors,1610612744
2000,Golden State Warriors,1610612744
1999,Golden State Warriors,1610612744
1998,Golden State Warriors,1610612744
1997,Golden State Warriors,1610612744
1996,Golden State Warriors,1610612744
1995,Golden State Warriors,1610612744
1994,Golden State Warriors,1610612744
1993,Golden State Warriors,1610612744
1992,Golden State Warriors,1610612744
